owned,master_rank,skill_level,,,character,unit,id,seq,characterId,cardRarityType,attr,supportUnit,skillId,cardSkillName,prefix,assetbundleName,releaseAt,type,,0
FALSE,,,,,天馬司,wxs,51,510,13,3,mysterious,none,3,VSドラゴン！？,着ぐるみからこんにちは,res013_no003,2019-01-01 15:00,perm,,
FALSE,,,,,鳳えむ,wxs,53,530,14,1,pure,none,1,ゆびきりげんまん！,ハイパー★ポジティブ,res014_no001,2019-01-01 15:00,perm,,
FALSE,,,,,鳳えむ,wxs,54,540,14,2,mysterious,none,2,フワフワがばばーんっ,ワンダーランズ×ショウタイム,res014_no002,2019-01-01 15:00,perm,,
FALSE,,,,,鳳えむ,wxs,55,550,14,3,cute,none,9,大歓迎バスター！！,レッツ作戦会議！,res014_no003,2019-01-01 15:00,perm,,
FALSE,,,,,草薙寧々,wxs,57,570,15,1,cool,none,1,集中できない…,毒舌コミュ障,res015_no001,2019-01-01 15:00,perm,,
FALSE,,,,,草薙寧々,wxs,58,580,15,2,cool,none,8,ネネロボがいてくれたから,ワンダーランズ×ショウタイム,res015_no002,2019-01-01 15:00,perm,,
FALSE,,,,,草薙寧々,wxs,59,590,15,3,pure,none,6,愉快でおかしな仲間達！,舞台裏から操作中,res015_no003,2019-01-01 15:00,perm,,
FALSE,,,,,神代類,wxs,61,610,16,1,mysterious,none,1,お望みのものだよ,マイペースな天才演出家,res016_no001,2019-01-01 15:00,perm,,
FALSE,,,,,神代類,wxs,62,620,16,2,pure,none,8,できてからのお楽しみさ,ワンダーランズ×ショウタイム,res016_no002,2019-01-01 15:00,perm,,
FALSE,,,,,神代類,wxs,63,630,16,3,happy,none,6,いいショーにしようじゃないか,神出鬼没なパフォーマー,res016_no003,2019-01-01 15:00,perm,,
FALSE,,,,,宵崎奏,niigo,65,650,17,1,mysterious,none,1,食べずに生きられればいいのに,音楽に愛された少女,res017_no001,2019-01-01 15:00,perm,,
FALSE,,,,,宵崎奏,niigo,66,660,17,2,cute,none,5,運命共同体,25時、ナイトコードで。,res017_no002,2019-01-01 15:00,perm,,
FALSE,,,,,宵崎奏,niigo,67,670,17,3,happy,none,9,ご飯よりも曲づくり,画面の向こうに…,res017_no003,2019-01-01 15:00,perm,,
FALSE,,,,,朝比奈まふゆ,niigo,69,690,18,1,cool,none,1,私らしい、か……,『いい子』に見られる優等生,res018_no001,2019-01-01 15:00,perm,,
FALSE,,,,,朝比奈まふゆ,niigo,70,700,18,2,happy,none,8,現実かは気にしちゃダメ,25時、ナイトコードで。,res018_no002,2019-01-01 15:00,perm,,
FALSE,,,,,朝比奈まふゆ,niigo,71,710,18,3,cute,none,3,『私』はどこ…？,『いい子』の私,res018_no003,2019-01-01 15:00,perm,,
FALSE,,,,,東雲絵名,niigo,73,730,19,1,pure,none,1,いいから付き合いなさいよ,SNS依存な絵描き,res019_no001,2019-01-01 15:00,perm,,
FALSE,,,,,東雲絵名,niigo,74,740,19,2,mysterious,none,8,悪くはないかな,25時、ナイトコードで。,res019_no002,2019-01-01 15:00,perm,,
FALSE,,,,,東雲絵名,niigo,75,750,19,3,cool,none,3,盛れてる盛れてる！,最高のアングル,res019_no003,2019-01-01 15:00,perm,,
FALSE,,,,,暁山瑞希,niigo,77,770,20,1,cute,none,1,猫舌だから♪,『カワイイ』にこだわる自由人,res020_no001,2019-01-01 15:00,perm,,
FALSE,,,,,暁山瑞希,niigo,78,780,20,2,cool,none,2,見てよこの出来ばえ！,25時、ナイトコードで。,res020_no002,2019-01-01 15:00,perm,,
FALSE,,,,,暁山瑞希,niigo,79,790,20,3,mysterious,none,6,今日のボクもカワイイな♪,譲れないこだわり,res020_no003,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,81,810,21,1,cute,none,1,一緒に楽しもうね！,誰もが知る歌姫,res021_no001,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,82,820,21,2,cute,light_sound,2,なんだか頼られてる気分,教室のセカイ,res021_no002,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,83,830,21,2,cool,idol,2,ポテンシャルは無限大！,ステージのセカイ,res021_no003,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,84,840,21,2,pure,street,8,私達にも大切だから,ストリートのセカイ,res021_no004,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,85,850,21,2,happy,theme_park,5,無邪気なアドリブ,ワンダーランドのセカイ,res021_no005,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,86,860,21,2,mysterious,school_refusal,2,嬉しいはくすぐったい,誰もいないセカイ,res021_no006,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,87,870,21,3,pure,school_refusal,9,会いに行かなくちゃ,見守るまなざし,res021_no007,2019-01-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,88,880,21,4,cute,idol,4,さあ、ステージへ！,みんなにお披露目,res021_no008,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音リン,vs,89,890,22,1,mysterious,none,1,キレキレパフォーマンス！,はじける元気！,res022_no001,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音リン,vs,90,900,22,2,happy,idol,5,コソ練仲間！,ステージのセカイ,res022_no002,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音リン,vs,91,910,22,3,mysterious,idol,9,かわいくポーズ♪,輝くステージ,res022_no003,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音リン,vs,92,920,22,4,pure,street,7,秘密だもんっ,いがみ合いヒートアップ,res022_no004,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音レン,vs,93,930,23,1,happy,none,1,マイクリレー！,はじけるパワフル！,res023_no001,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音レン,vs,94,940,23,2,mysterious,street,8,DJだよ、DJ！,ストリートのセカイ,res023_no002,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音レン,vs,95,950,23,3,happy,street,3,早く話せばよかったよ,難しい『仲直り』,res023_no003,2019-01-01 15:00,perm,,
FALSE,,,,,鏡音レン,vs,96,960,23,4,cool,theme_park,10,今日から僕も劇団員！,新団員登場！,res023_no004,2019-01-01 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,97,970,24,1,pure,none,1,この歌が届くように,クールビューティー,res024_no001,2019-01-01 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,98,980,24,2,happy,light_sound,8,後輩のためにも,教室のセカイ,res024_no002,2019-01-01 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,99,990,24,3,pure,light_sound,3,届かない距離じゃないから,導く手,res024_no003,2019-01-01 15:00,perm,,
FALSE,,,,,MEIKO,vs,101,1010,25,1,cool,none,1,手拍子も大歓迎！,赤く駆ける旋律,res025_no001,2019-01-01 15:00,perm,,
FALSE,,,,,MEIKO,vs,102,1020,25,2,pure,street,5,マスター冥利につきるわ,ストリートのセカイ,res025_no002,2019-01-01 15:00,perm,,
FALSE,,,,,MEIKO,vs,103,1030,25,3,mysterious,street,9,はい。召し上がれ,こだわりの一杯,res025_no003,2019-01-01 15:00,perm,,
FALSE,,,,,KAITO,vs,105,1050,26,1,cute,none,1,歌の存在感,涼やかな青い旋律,res026_no001,2019-01-01 15:00,perm,,
FALSE,,,,,KAITO,vs,106,1060,26,2,cute,theme_park,2,最高のショーを目指して,ワンダーランドのセカイ,res026_no002,2019-01-01 15:00,perm,,
FALSE,,,,,KAITO,vs,107,1070,26,3,cool,theme_park,9,座長は大変！,劇団員募集中！,res026_no003,2019-01-01 15:00,perm,,
FALSE,,,,,天馬咲希,ln,109,1090,2,4,mysterious,none,4,流星リフレイン,レイニー・ディスタンス,res002_no005,2020-10-09 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,110,1100,24,4,mysterious,light_sound,7,君に降る涙,黄昏の雨をぬぐって,res024_no005,2020-10-09 15:00,perm,,
FALSE,,,,,日野森志歩,ln,111,1110,4,4,mysterious,none,11,一等星のシグナル,気づきたかった熱さ,res004_no005,2020-10-09 15:00,perm,,
FALSE,,,,,望月穂波,ln,112,1120,3,3,pure,none,9,窓辺のエトワール,ゆっくり休んで,res003_no005,2020-10-09 15:00,perm,,
FALSE,,,,,星乃一歌,ln,113,1130,1,2,pure,none,5,ジャンピングスター,星のステップ,res001_no005,2020-10-09 15:00,perm,,
FALSE,,,,,朝比奈まふゆ,niigo,114,1140,18,4,cool,none,7,初めての気持ち,不自由マスカレード,res018_no005,2020-10-20 15:00,perm,,
FALSE,,,,,宵崎奏,niigo,115,1150,17,4,cool,none,4,あがいて、いつか……,生きているように,res017_no005,2020-10-20 15:00,perm,,
FALSE,,,,,初音ミク,vs,116,1160,21,4,cool,school_refusal,11,もっと見つけて,絶たれた糸,res021_no009,2020-10-20 15:00,perm,,
FALSE,,,,,暁山瑞希,niigo,117,1170,20,3,cute,none,9,縛られたとしても……,戯れのひととき,res020_no005,2020-10-20 15:00,perm,,
FALSE,,,,,東雲絵名,niigo,118,1180,19,2,pure,none,5,ちゃんと向き合う方法,マリオネットドレス,res019_no005,2020-10-20 15:00,perm,,
FALSE,,,,,神代類,wxs,119,1190,16,4,happy,none,4,思う存分に,思わぬ指摘,res016_no005,2020-10-31 15:00,perm,,
FALSE,,,,,天馬司,wxs,120,1200,13,4,happy,none,10,座長の役目だ！,ハラハラ！？ゾンビパニック！,res013_no005,2020-10-31 15:00,perm,,
FALSE,,,,,KAITO,vs,121,1210,26,4,happy,theme_park,11,導きの手,迷い子達との語らい,res026_no006,2020-10-31 15:00,perm,,
FALSE,,,,,鳳えむ,wxs,122,1220,14,3,mysterious,none,6,ハロウィンわんだほい！,パンダさんに乗って,res014_no006,2020-10-31 15:00,perm,,
FALSE,,,,,草薙寧々,wxs,123,1230,15,2,mysterious,none,5,大事な友達,ワンダーステッキ,res015_no005,2020-10-31 15:00,perm,,
FALSE,,,,,鳳えむ,wxs,124,1240,14,4,pure,none,10,はじける応援,激走！アンカー☆,res014_no007,2020-11-09 15:00,perm,,
FALSE,,,,,桐谷遥,mmj,125,1250,6,4,pure,none,4,エンジョイ・チア！,いっぱいの祝福,res006_no005,2020-11-09 15:00,perm,,
FALSE,,,,,初音ミク,vs,126,1260,21,4,pure,theme_park,11,フレフレフレ♪,レッツ・チア！,res021_no010,2020-11-09 15:00,perm,,
FALSE,,,,,朝比奈まふゆ,niigo,127,1270,18,3,happy,none,6,心に残ったもの,楽しい楽しい二人三脚？,res018_no006,2020-11-09 15:00,perm,,
FALSE,,,,,天馬咲希,ln,128,1280,2,2,cool,none,2,アタシにできることを！,アイアム体育祭実行委員！,res002_no006,2020-11-09 15:00,perm,,
FALSE,,,,,桃井愛莉,mmj,129,1290,7,4,cute,none,10,わたし達らしくあるために！,いつでも前を向いて,res007_no005,2020-11-19 15:00,perm,,
FALSE,,,,,花里みのり,mmj,130,1300,5,4,cute,none,7,新しい試み,あわわわわっ！？,res005_no005,2020-11-19 15:00,perm,,
FALSE,,,,,鏡音リン,vs,131,1310,22,4,cute,idol,11,キラキラレインボー♪,キミの笑顔のために,res022_no005,2020-11-19 15:00,perm,,
FALSE,,,,,日野森雫,mmj,132,1320,8,3,cool,none,9,必ず４人で,私がなりたいものは,res008_no005,2020-11-19 15:00,perm,,
FALSE,,,,,桐谷遥,mmj,133,1330,6,2,happy,none,2,いつかわかってもらえたら……,シャボンディ・ブルー,res006_no006,2020-11-19 15:00,perm,,
FALSE,,,,,白石杏,vbs,134,1340,10,4,cool,none,4,信じる力,相棒なのに,res010_no005,2020-11-30 15:00,perm,,
FALSE,,,,,小豆沢こはね,vbs,135,1350,9,4,cool,none,7,背中を預けて！,もう一度ふたりで,res009_no005,2020-11-30 15:00,perm,,
FALSE,,,,,東雲彰人,vbs,136,1360,11,4,cool,none,11,隣で歌うために,相棒だから,res011_no005,2020-11-30 15:00,perm,,
FALSE,,,,,青柳冬弥,vbs,137,1370,12,3,happy,none,9,ワクワクを感じて,和やかカフェタイム,res012_no005,2020-11-30 15:00,perm,,
FALSE,,,,,MEIKO,vs,138,1380,25,2,happy,street,2,みんなで開店準備！,温かい眼差し,res025_no005,2020-11-30 15:00,perm,,
FALSE,,,,,暁山瑞希,niigo,139,1390,20,4,mysterious,none,4,次は一緒に……,屋上のフレンドシップ,res020_no006,2020-12-10 15:00,perm,,
FALSE,,,,,KAITO,vs,140,1400,26,4,mysterious,theme_park,7,あの感動をもう一度,ヒミツの演技指導,res026_no007,2020-12-10 15:00,perm,,
FALSE,,,,,天馬司,wxs,141,1410,13,4,mysterious,none,11,笑撃の結末,オレが主役だ！,res013_no006,2020-12-10 15:00,perm,,
FALSE,,,,,草薙寧々,wxs,142,1420,15,3,mysterious,none,9,い……いらっしゃいませ,アニマルコットンキャンディ♪,res015_no006,2020-12-10 15:00,perm,,
FALSE,,,,,青柳冬弥,vbs,143,1430,12,2,cool,none,5,クマさんが一番得意,意外な才能？,res012_no006,2020-12-10 15:00,perm,,
FALSE,,,,,草薙寧々,wxs,144,1440,15,4,cute,none,4,楽しいバカ騒ぎ,空からの贈り物,res015_no007,2020-12-20 15:00,perm,,
FALSE,,,,,初音ミク,vs,145,1450,21,4,cute,theme_park,7,雪・ソリ・トナカイ・サンタさん！,ワンダー☆クリスマス！,res021_no011,2020-12-20 15:00,perm,,
FALSE,,,,,MEIKO,vs,146,1460,25,4,cute,theme_park,11,ワンダフルアイディア！,教えて！みんなのクリスマス♪,res025_no006,2020-12-20 15:00,perm,,
FALSE,,,,,神代類,wxs,147,1470,16,3,pure,none,3,僕達の強み,ぐっすりナイト,res016_no006,2020-12-20 15:00,perm,,
FALSE,,,,,鳳えむ,wxs,148,1480,14,2,cute,none,8,みんなと初めてのクリスマス,キラットナカチューシャ☆,res014_no008,2020-12-20 15:00,perm,,
FALSE,,,,,初音ミク,vs,149,1490,21,4,pure,street,4,ライバルでいてほしい,強者の笑み,res021_no012,2020-12-31 15:00,perm,,
FALSE,,,,,鏡音レン,vs,150,1500,23,4,pure,street,7,気になるみんなのお正月,最高最強のコンビ！？,res023_no005,2020-12-31 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,151,1510,24,4,pure,light_sound,11,４度目の正直,雅な微笑み,res024_no006,2020-12-31 15:00,perm,,
FALSE,,,,,東雲絵名,niigo,152,1520,19,4,pure,none,11,たくさんの戦利品,東雲家の年末,res019_no006,2020-12-31 15:00,perm,,
FALSE,,,,,天馬咲希,ln,153,1530,2,3,cute,none,9,冬休みの勉強会,何よりも大事なお願い,res002_no007,2020-12-31 15:00,perm,,
FALSE,,,,,天馬司,wxs,154,1540,13,2,pure,none,2,掛け声だろうと全力投球！！,全員参加のお正月,res013_no007,2020-12-31 15:00,perm,,
FALSE,,,,,望月穂波,ln,155,1550,3,4,happy,none,4,揺れやすくても、壊れやすくても,ありがとう、勇気,res003_no006,2020-01-10 15:00,perm,,
FALSE,,,,,MEIKO,vs,156,1560,25,4,happy,light_sound,7,キラキラなメロディー,３人目の先輩！,res025_no007,2020-01-10 15:00,perm,,
FALSE,,,,,星乃一歌,ln,157,1570,1,4,happy,none,11,演奏うまくなろう作戦！？,戻ってきた笑顔,res001_no006,2020-01-10 15:00,perm,,
FALSE,,,,,天馬咲希,ln,158,1580,2,3,mysterious,none,3,力になりたくて,陰からの応援,res002_no008,2020-01-10 15:00,perm,,
FALSE,,,,,日野森志歩,ln,159,1590,4,2,cute,none,8,少しでも優しく……,いろんな優しさ,res004_no006,2020-01-10 15:00,perm,,
FALSE,,,,,日野森雫,mmj,160,1600,8,4,cool,none,4,ありのままの私で,誰でもない“この私”を,res008_no006,2021-01-21 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,161,1610,24,4,cool,idol,10,キラキラウィンク,新メンバー登場♪,res024_no007,2021-01-21 15:00,perm,,
FALSE,,,,,桃井愛莉,mmj,162,1620,7,4,cool,none,11,負けず嫌いの意地？,甘いひととき,res007_no006,2021-01-21 15:00,perm,,
FALSE,,,,,桐谷遥,mmj,163,1630,6,3,cute,none,6,悩める仲間のために,アイドルの責任,res006_no007,2021-01-21 15:00,perm,,
FALSE,,,,,花里みのり,mmj,164,1640,5,2,pure,none,8,その背中を追いかけて,ポジティブ・フラワー,res005_no006,2021-01-21 15:00,perm,,
FALSE,,,,,青柳冬弥,vbs,165,1650,12,4,mysterious,none,4,言う必要のない言葉,いつの日か、また……,res012_no007,2021-01-31 15:00,perm,,
FALSE,,,,,東雲彰人,vbs,166,1660,11,4,mysterious,none,7,最高の賛辞を,いつか来るその日を待って,res011_no006,2021-01-31 15:00,perm,,
FALSE,,,,,白石杏,vbs,167,1670,10,4,mysterious,none,11,プレシャスファム！,寄り添う想い,res010_no006,2021-01-31 15:00,perm,,
FALSE,,,,,小豆沢こはね,vbs,168,1680,9,3,pure,none,3,晴れやかな空の下で,憂いの夜,res009_no006,2021-01-31 15:00,perm,,
FALSE,,,,,鏡音レン,vs,169,1690,23,2,cute,street,8,欠けることのない想い,センチメンタルメロディ,res023_no006,2021-01-31 15:00,perm,,
FALSE,,,,,日野森志歩,ln,170,1700,4,4,cute,none,7,決められない心,絆と憂い,res004_no007,2021-02-09 15:00,perm,,
FALSE,,,,,鏡音リン,vs,171,1710,22,4,cute,theme_park,10,笑顔のススメ,友情キューピッド,res022_no006,2021-02-09 15:00,perm,,
FALSE,,,,,望月穂波,ln,172,1720,3,4,cute,none,11,果たせた約束,悪夢へようこそ,res003_no007,2021-02-09 15:00,perm,,
FALSE,,,,,天馬司,wxs,173,1730,13,3,cool,none,3,宇宙すらも笑顔でいっぱい！,紹介しよう！！,res013_no008,2021-02-09 15:00,perm,,
FALSE,,,,,神代類,wxs,174,1740,16,2,cool,none,5,普通じゃないほうが逆に普通,マッドネス・ケモケモ,res016_no007,2021-02-09 15:00,perm,,
FALSE,,,,,東雲絵名,niigo,175,1750,19,4,happy,none,4,もがいて、あがいて,諦めたくないから,res019_no007,2021-02-18 15:00,perm,,
FALSE,,,,,朝比奈まふゆ,niigo,176,1760,18,4,happy,none,10,“ない”と“わからない”は違う,投げかけた言葉,res018_no007,2021-02-18 15:00,perm,,
FALSE,,,,,宵崎奏,niigo,177,1770,17,4,happy,none,11,いらなくなんてない,想いをメロディーに……,res017_no006,2021-02-18 15:00,perm,,
FALSE,,,,,鏡音リン,vs,178,1780,22,3,mysterious,school_refusal,9,たとえ呪いのようだとしても,出会いの意味を探して,res022_no007,2021-02-18 15:00,perm,,
FALSE,,,,,暁山瑞希,niigo,179,1790,20,2,mysterious,none,5,頼ってくれてもいいんだよ,トラスト ユー,res020_no007,2021-02-18 15:00,perm,,
FALSE,,,,,鳳えむ,wxs,180,1800,14,4,mysterious,none,4,みんなとなら大丈夫,かけがえのない笑顔,res014_no009,2021-02-28 15:00,lim,,
FALSE,,,,,草薙寧々,wxs,181,1810,15,4,mysterious,none,10,笑っててほしい,想いのメッセンジャー,res015_no008,2021-02-28 15:00,lim,,
FALSE,,,,,神代類,wxs,182,1820,16,4,mysterious,none,11,笑顔のために,内なる烈火,res016_no008,2021-02-28 15:00,perm,,
FALSE,,,,,鏡音レン,vs,183,1830,23,3,happy,theme_park,6,ポムポムポ♪,いっちばん得意な方法で！,res023_no007,2021-02-28 15:00,perm,,
FALSE,,,,,天馬司,wxs,184,1840,13,2,happy,none,8,怒れる自称宇宙一の兄,バルーンプレゼンター,res013_no009,2021-02-28 15:00,perm,,
FALSE,,,,,天馬咲希,ln,185,1850,2,4,pure,none,10,来年まで秘密,最高のひな祭り！,res002_no009,2021-03-10 15:00,perm,,
FALSE,,,,,天馬司,wxs,186,1860,13,4,pure,none,4,ワクワク気分でぐっすり！,お兄ちゃんの苦悩,res013_no010,2021-03-10 15:00,perm,,
FALSE,,,,,青柳冬弥,vbs,187,1870,12,4,pure,none,11,出会いの思い出,きょうだいの絆,res012_no008,2021-03-10 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,188,1880,24,3,cute,theme_park,3,めーちゃん、お膝貸して？,ハッピーなひな祭り♪,res024_no008,2021-03-10 15:00,perm,,
FALSE,,,,,望月穂波,ln,189,1890,3,2,mysterious,none,5,勇気がくれた笑顔,いけないことだけど……,res003_no008,2021-03-10 15:00,perm,,
FALSE,,,,,花里みのり,mmj,190,1900,5,4,happy,none,4,４人分の“もっともっと”,“あなた”のために,res005_no007,2021-03-22 15:00,perm,,
FALSE,,,,,桐谷遥,mmj,191,1910,6,4,happy,none,7,たくさんの初めてを一緒に,頑張るあなたに,res006_no008,2021-03-22 15:00,perm,,
FALSE,,,,,日野森雫,mmj,192,1920,8,4,happy,none,11,助けになりますように,にゃ～ん？,res008_no007,2021-03-22 15:00,perm,,
FALSE,,,,,巡音ルカ,vs,193,1930,24,3,mysterious,idol,3,肩の力を抜きましょう？,アイドルとしての心得,res024_no009,2021-03-22 15:00,perm,,
FALSE,,,,,桃井愛莉,mmj,194,1940,7,2,happy,none,8,同じ思いはさせない,後輩のためにできること,res007_no007,2021-03-22 15:00,perm,,
FALSE,,,,,宵崎奏,niigo,195,1950,17,4,mysterious,none,12,闇を照らす光,いつか見た夢を,res017_no007,2021-03-30 15:00,fes,,
FALSE,,,,,朝比奈まふゆ,niigo,196,1960,18,4,pure,none,13,知に触れて,潜る、私の中へ,res018_no008,2021-03-30 15:00,fes,,
FALSE,,,,,星乃一歌,ln,197,1970,1,4,pure,none,4,みんなとお花見！,晴れを願って,res001_no007,2021-04-01 15:00,perm,,
FALSE,,,,,初音ミク,vs,198,1980,21,4,pure,light_sound,10,ひそかな心配,育ちゆく音色,res021_no013,2021-04-01 15:00,perm,,
